"DOI","title","code","short","dldate","country","institution","IP"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2021-05-30",,, 174.113.152.16
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2021-08-05",,,"90.251.121.131"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2021-08-30",,,"115.55.163.248"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2021-09-03",,,"149.155.21.220"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2021-10-06",,,"138.51.113.49"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2021-10-07",,,"144.124.113.102"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2021-10-07",,,"144.124.113.102"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2021-10-18",,,"144.124.114.132"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2021-10-18",,,"144.124.114.132"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2021-10-25",,,"86.174.135.143"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2021-11-06",,,"115.155.82.225"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2021-11-10",,,"195.154.230.201"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2021-11-10",,,"195.154.230.201"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2022-08-18",,,"130.209.21.174"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2023-01-13",,,"92.233.215.67"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2023-01-20",,,"194.80.232.19"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2023-03-26",AU,University of Tasmania (School),"140.253.155.253"
