"DOI","title","code","dataset","year","dls"
"10.23637/bbk-2078416917-01",<i>Cirsium arvense</i> frequency on Broadbalk Section 8 1991-2018,R/BK/1,CIRSIUM1991,2021,1
"10.23637/bbk-2078416917-01",<i>Cirsium arvense</i> frequency on Broadbalk Section 8 1991-2018,R/BK/1,CIRSIUM1991,2022,2
"10.23637/bbk-2078416917-01",<i>Cirsium arvense</i> frequency on Broadbalk Section 8 1991-2018,R/BK/1,CIRSIUM1991,2023,1
"10.23637/bbk-2078416917-01",<i>Cirsium arvense</i> frequency on Broadbalk Section 8 1991-2018,R/BK/1,CIRSIUM1991,2024,1
"10.23637/bbk-2078416917-01",<i>Cirsium arvense</i> frequency on Broadbalk Section 8 1991-2018,R/BK/1,CIRSIUM1991,2025,4
"10.23637/bbk-2078416917-01",<i>Cirsium arvense</i> frequency on Broadbalk Section 8 1991-2018,R/BK/1,CIRSIUM1991,2026,6
"10.23637/BK-oadata-soilN-01","Broadbalk Soil Total % Nitrogen Content, 1843-2010 ",R/BK/1,Nitro1843,2021,14
"10.23637/BK-oadata-soilN-01","Broadbalk Soil Total % Nitrogen Content, 1843-2010 ",R/BK/1,Nitro1843,2022,20
"10.23637/BK-oadata-soilN-01","Broadbalk Soil Total % Nitrogen Content, 1843-2010 ",R/BK/1,Nitro1843,2023,19
"10.23637/BK-oadata-soilN-01","Broadbalk Soil Total % Nitrogen Content, 1843-2010 ",R/BK/1,Nitro1843,2024,16
"10.23637/BK-oadata-soilN-01","Broadbalk Soil Total % Nitrogen Content, 1843-2010 ",R/BK/1,Nitro1843,2025,21
"10.23637/BK-oadata-soilN-01","Broadbalk Soil Total % Nitrogen Content, 1843-2010 ",R/BK/1,Nitro1843,2026,18
"10.23637/EX4-oadata-001-01","Exhaustion Land yields (spring barley and winter wheat) and assorted crop & soil phosphate (P) data, 1974-2008 ",R/EX/4,ExLand2016,2021,11
"10.23637/EX4-oadata-001-01","Exhaustion Land yields (spring barley and winter wheat) and assorted crop & soil phosphate (P) data, 1974-2008 ",R/EX/4,ExLand2016,2022,17
"10.23637/EX4-oadata-001-01","Exhaustion Land yields (spring barley and winter wheat) and assorted crop & soil phosphate (P) data, 1974-2008 ",R/EX/4,ExLand2016,2023,3
"10.23637/keyrefoabkolsenp","Broadbalk changes in Olsen P in top soil, 1843-2010",R/BK/1,OAOlsenP1844,2021,10
"10.23637/keyrefoabkolsenp","Broadbalk changes in Olsen P in top soil, 1843-2010",R/BK/1,OAOlsenP1844,2022,9
"10.23637/keyrefoabkolsenp","Broadbalk changes in Olsen P in top soil, 1843-2010",R/BK/1,OAOlsenP1844,2023,3
"10.23637/keyrefoabkolsenp","Broadbalk changes in Olsen P in top soil, 1843-2010",R/BK/1,OAOlsenP1844,2024,4
"10.23637/keyrefoabkolsenp","Broadbalk changes in Olsen P in top soil, 1843-2010",R/BK/1,OAOlsenP1844,2025,10
"10.23637/keyrefoabkolsenp","Broadbalk changes in Olsen P in top soil, 1843-2010",R/BK/1,OAOlsenP1844,2026,13
"10.23637/KeyRefOABKsoc",Broadbalk soil organic carbon content 1843-2010 ,R/BK/1,BKSOC1843,2021,14
"10.23637/KeyRefOABKsoc",Broadbalk soil organic carbon content 1843-2010 ,R/BK/1,BKSOC1843,2022,9
"10.23637/KeyRefOABKsoc",Broadbalk soil organic carbon content 1843-2010 ,R/BK/1,BKSOC1843,2023,9
"10.23637/KeyRefOABKsoc",Broadbalk soil organic carbon content 1843-2010 ,R/BK/1,BKSOC1843,2024,10
"10.23637/KeyRefOABKsoc",Broadbalk soil organic carbon content 1843-2010 ,R/BK/1,BKSOC1843,2025,10
"10.23637/KeyRefOABKsoc",Broadbalk soil organic carbon content 1843-2010 ,R/BK/1,BKSOC1843,2026,5
"10.23637/KeyRefOABKsoc-02",Broadbalk soil organic carbon content 1843-2015 ,R/BK/1,BKSOC1843,2021,33
"10.23637/KeyRefOABKsoc-02",Broadbalk soil organic carbon content 1843-2015 ,R/BK/1,BKSOC1843,2022,45
"10.23637/KeyRefOABKsoc-02",Broadbalk soil organic carbon content 1843-2015 ,R/BK/1,BKSOC1843,2023,41
"10.23637/KeyRefOABKsoc-02",Broadbalk soil organic carbon content 1843-2015 ,R/BK/1,BKSOC1843,2024,35
"10.23637/KeyRefOABKsoc-02",Broadbalk soil organic carbon content 1843-2015 ,R/BK/1,BKSOC1843,2025,47
"10.23637/KeyRefOABKsoc-02",Broadbalk soil organic carbon content 1843-2015 ,R/BK/1,BKSOC1843,2026,30
"10.23637/KeyRefOABKWoc",Broadbalk Wilderness accumulation of organic carbon,R/BK/1W,BKWoc,2021,7
"10.23637/KeyRefOABKWoc",Broadbalk Wilderness accumulation of organic carbon,R/BK/1W,BKWoc,2022,22
"10.23637/KeyRefOABKWoc",Broadbalk Wilderness accumulation of organic carbon,R/BK/1W,BKWoc,2023,7
"10.23637/KeyRefOABKWoc",Broadbalk Wilderness accumulation of organic carbon,R/BK/1W,BKWoc,2024,6
"10.23637/KeyRefOABKWoc",Broadbalk Wilderness accumulation of organic carbon,R/BK/1W,BKWoc,2025,11
"10.23637/KeyRefOABKWoc",Broadbalk Wilderness accumulation of organic carbon,R/BK/1W,BKWoc,2026,8
"10.23637/KeyRefOABKyields",Broadbalk mean long-term winter wheat yields 1852-2016 ,R/BK/1,OAWWYields,2021,42
"10.23637/KeyRefOABKyields",Broadbalk mean long-term winter wheat yields 1852-2016 ,R/BK/1,OAWWYields,2022,104
"10.23637/KeyRefOABKyields",Broadbalk mean long-term winter wheat yields 1852-2016 ,R/BK/1,OAWWYields,2023,33
"10.23637/KeyRefOABKyields",Broadbalk mean long-term winter wheat yields 1852-2016 ,R/BK/1,OAWWYields,2024,19
"10.23637/KeyRefOABKyields",Broadbalk mean long-term winter wheat yields 1852-2016 ,R/BK/1,OAWWYields,2025,11
"10.23637/KeyRefOABKyields",Broadbalk mean long-term winter wheat yields 1852-2016 ,R/BK/1,OAWWYields,2026,1
"10.23637/KeyRefOAGEWoc",Geescroft wilderness accumulation of organic carbon ,R/GE/9,GEWoc,2021,5
"10.23637/KeyRefOAGEWoc",Geescroft wilderness accumulation of organic carbon ,R/GE/9,GEWoc,2022,15
"10.23637/KeyRefOAGEWoc",Geescroft wilderness accumulation of organic carbon ,R/GE/9,GEWoc,2023,10
"10.23637/KeyRefOAGEWoc",Geescroft wilderness accumulation of organic carbon ,R/GE/9,GEWoc,2024,2
"10.23637/KeyRefOAGEWoc",Geescroft wilderness accumulation of organic carbon ,R/GE/9,GEWoc,2025,8
"10.23637/KeyRefOAGEWoc",Geescroft wilderness accumulation of organic carbon ,R/GE/9,GEWoc,2026,4
"10.23637/KeyRefOAHBsoc",Hoosfield soil organic carbon content,R/HB/2,HBSOC1852,2021,19
"10.23637/KeyRefOAHBsoc",Hoosfield soil organic carbon content,R/HB/2,HBSOC1852,2022,24
"10.23637/KeyRefOAHBsoc",Hoosfield soil organic carbon content,R/HB/2,HBSOC1852,2023,24
"10.23637/KeyRefOAHBsoc",Hoosfield soil organic carbon content,R/HB/2,HBSOC1852,2024,17
"10.23637/KeyRefOAHBsoc",Hoosfield soil organic carbon content,R/HB/2,HBSOC1852,2025,29
"10.23637/KeyRefOAHBsoc",Hoosfield soil organic carbon content,R/HB/2,HBSOC1852,2026,10
"10.23637/KeyRefOAHByields",Hoosfield mean long-term spring barley yields 1852-2015 ,R/HB/2,HBYields,2021,5
"10.23637/KeyRefOAHByields",Hoosfield mean long-term spring barley yields 1852-2015 ,R/HB/2,HBYields,2022,15
"10.23637/KeyRefOAHByields",Hoosfield mean long-term spring barley yields 1852-2015 ,R/HB/2,HBYields,2023,15
"10.23637/KeyRefOAHByields",Hoosfield mean long-term spring barley yields 1852-2015 ,R/HB/2,HBYields,2024,12
"10.23637/KeyRefOAHByields",Hoosfield mean long-term spring barley yields 1852-2015 ,R/HB/2,HBYields,2025,26
"10.23637/KeyRefOAHByields",Hoosfield mean long-term spring barley yields 1852-2015 ,R/HB/2,HBYields,2026,10
"10.23637/KeyRefOAPGsoilpH",Park Grass Soil pH 1856-2011 Selected data ,R/PG/5,OAPGsoilpH,2021,4
